1234567890->PUNTOS: {0} / {1}	POINTS : {0} / {1}	PUNKTE: {0} / {1}	PUNTI: {0} / {1}	积分：{0} / {1}	ポイント: {0} / {1}	포인트: {0} / {1}	PUNKTY: {0} / {1}	PONTOS: {0} / {1}	БАЛЛЫ: {0} / {1}
El animal más común en tu mazo aparecerá en todas las tiendas para su compra.	L'animal le plus commun de votre deck apparaîtra dans chaque boutique pour être acheté	Das in Ihrem Deck am häufigsten vorkommende Tier wird in jedem Geschäft zum Kauf angeboten.	L'animale più comune nel tuo mazzo apparirà in ogni negozio per l'acquisto	你的牌组中最常见的动物将出现在每个商店中供购买	あなたのデッキで最もよく使われる動物は、どの店でも購入できるようになります。	덱에서 가장 흔한 동물은 모든 상점에서 구매할 수 있습니다.	Najczęściej występujące zwierzę w Twojej talii pojawi się w każdym sklepie do kupienia	O animal mais comum em seu baralho aparecerá em todas as lojas para compra	Самое распространенное животное в вашей колоде будет доступно для покупки в каждом магазине.
El tiempo es dinero	Le temps, c'est de l'argent	Zeit ist Geld	Il tempo è denaro	时间就是金钱	時は金なり	시간은 돈이다	Czas to pieniądz	Tempo é dinheiro	Время — деньги
-10 segundos por ronda, +0,33x multiplicador de efectivo por cada lazo exitoso	-10 secondes par tour, +0,33x cash mult pour chaque lasso réussi	-10 Sekunden pro Runde, +0,33x Cash-Multiplikator für jedes erfolgreiche Lasso	-10 secondi per round, +0,33x moltiplicatore di denaro per ogni lazo riuscito	每轮 -10 秒，每次成功套索 +0.33 倍现金	ラウンドごとに-10秒、投げ縄成功ごとに+0.33倍のキャッシュマルチ	라운드당 -10초, 성공적인 올가미 하나당 +0.33배 현금 배수	-10 sekund na rundę, +0,33x mnożnik gotówki za każde udane lasso	-10 segundos por rodada, +0,33x multiplicador de dinheiro para cada laço bem-sucedido	-10 секунд за раунд, +0,33x к денежному множителю за каждое успешное лассо
Espantapájaros	Épouvantail	Vogelscheuche	Spaventapasseri	稻草人	かかし	허수아비	Strach na wróble	Espantalho	Пугало
Disminución de la tasa de reproducción de depredadores	Diminution du taux de reproduction des prédateurs	Verringerte Raubtier-Spawnrate	Diminuzione del tasso di riproduzione dei predatori	捕食者产卵率降低	捕食者の産卵率の低下	포식자 생성률 감소	Zmniejszona częstotliwość tarła drapieżników	Diminuição da taxa de desova de predadores	Снижение скорости появления хищников
Dividendo polvoriento	Dividende poussiéreux	Dusty Dividend	Dividendo polveroso	尘土飞扬的股息	ダスティ・ディビデンド	더스티 배당금	Dusty Dywidenda	Dividendo empoeirado	Пыльный дивиденд
Por cada 3 animales no depredadores en un lazo, gana +3 en efectivo en lugar del +1 en efectivo habitual.	Pour chaque groupe de 3 animaux non prédateurs dans un lasso, gagnez +3 espèces au lieu du +1 habituel.	Für jeweils 3 Nicht-Raubtiere in einem Lasso erhalten Sie +3 Bargeld anstelle des üblichen +1 Bargelds	Per ogni 3 animali non predatori in un lazo, guadagni +3 contanti invece del solito +1 contanti	每套索捕获 3 只非捕食动物，即可获得 +3 现金，而不是通常的 +1 现金	投げ縄に捕食動物以外の動物が3匹いるごとに、通常の+1現金の代わりに+3現金を獲得します。	올가미에 포식자가 아닌 동물 3마리가 있을 때마다 평소의 +1 현금 대신 +3 현금을 얻습니다.	Za każde 3 zwierzęta niebędące drapieżnikami w lassie otrzymujesz +3 gotówki zamiast zwykłej +1 gotówki	Para cada 3 animais não predadores em um laço, ganhe +3 em dinheiro em vez do +1 em dinheiro usual	За каждые 3 нехищных животных в лассо вы получаете +3 монеты вместо обычных +1 монеты.
BNPL	BNPL	BNPL	BNPL	BNPL	BNPL	비엔피엘	BNPL	BNPL	БНПЛ
El jugador ahora puede endeudarse hasta $100 en la tienda	Le joueur peut désormais s'endetter jusqu'à 100 $ dans la boutique	Spieler können jetzt im Shop Schulden von bis zu 100 $ machen	Il giocatore ora può indebitarsi fino a 100 $ nel negozio	玩家现在可以在商店中承担高达 100 美元的债务	プレイヤーはショップで最大100ドルの借金をすることができるようになりました	이제 플레이어는 상점에서 최대 100달러의 빚을 질 수 있습니다.	Gracz może teraz zaciągnąć w sklepie dług w wysokości do 100 dolarów	O jogador agora pode contrair dívidas de até US$ 100 na loja	Игрок теперь может взять в долг в магазине до 100 долларов.
El arca de Noé	Arche de Noé	Arche Noah	L'arca di Noè	诺亚方舟	ノアの箱舟	노아의 방주	Arka Noego	Arca de Noé	Ноев ковчег
Siempre que laces exactamente 2 animales idénticos, hay una probabilidad de 1 en 25 de mejorar ese animal.	Chaque fois que vous capturez exactement 2 animaux identiques, vous avez 1 chance sur 25 d'améliorer cet animal.	Wenn Sie genau zwei identische Tiere einfangen, besteht eine Chance von 1 zu 25, dieses Tier zu verbessern.	Ogni volta che prendi al lazo esattamente 2 animali identici, c'è una probabilità su 25 di potenziare quell'animale	每当你套住 2 只完全相同的动物时，就有 1/25 的机会升级该动物	同じ動物を2匹捕まえるたびに、その動物をアップグレードできる確率は25分の1です。	정확히 동일한 동물 2마리를 올가미로 묶을 때마다 해당 동물을 업그레이드할 확률이 25분의 1입니다.	Za każdym razem, gdy złapiesz na lasso dokładnie 2 identyczne zwierzęta, istnieje 1 szansa na 25 na ulepszenie tego zwierzęcia	Sempre que você laçar exatamente 2 animais idênticos, há uma chance em 25 de melhorar esse animal	Если вы заарканите ровно двух одинаковых животных, есть 1 шанс из 25 улучшить это животное.
Golpea a un topo	Frappez une taupe	Schlag einen Maulwurf	Colpisci la talpa	打地鼠	モグラ叩き	두더지를 때려라	Uderz kreta	Bata numa toupeira	Ударь крота
Ocasionalmente, aparecerán topos durante el día, ofreciendo +5 en efectivo y +5 puntos cuando se les ata con un lazo.	Des taupes apparaîtront occasionnellement au cours de la journée, offrant +5 en espèces et +5 points lorsqu'elles sont capturées au lasso	Maulwürfe tauchen gelegentlich im Laufe des Tages auf und bieten +5 Bargeld und +5 Punkte, wenn sie mit dem Lasso gefangen werden	Le talpe appariranno occasionalmente durante il giorno, offrendo +5 soldi e +5 punti quando vengono catturate con il lazo	鼹鼠会在白天偶尔出现，被套索套住时可获得 +5 现金和 +5 积分	モグラは日中に時々現れ、投げ縄で捕まえると現金+5とポイント+5を獲得できます。	두더지는 낮 동안 가끔 나타나서 올가미로 묶으면 현금 +5와 포인트 +5를 제공합니다.	Krety będą się od czasu do czasu pojawiać w ciągu dnia, oferując +5 gotówki i +5 punktów po złapaniu na lasso	As toupeiras aparecerão ocasionalmente durante o dia, oferecendo +5 em dinheiro e +5 pontos quando laçadas	Кроты иногда появляются в течение дня, предлагая +5 денег и +5 очков, если их поймать.
Choca esos cinco	High Five	Gib mir fünf	Cinque alto	击掌	ハイタッチ	하이파이브	Przybij piątkę	Toca aqui	Дай пять
+5 en efectivo y puntos por lazos con exactamente 5 animales	+5 cash et points pour les lassos avec exactement 5 animaux	+5 Cash und Punkte für Lassos mit genau 5 Tieren	+5 soldi e punti per i lazo con esattamente 5 animali	用套索套住 5 只动物可获得 +5 现金和积分	ちょうど5匹の動物を投げ縄で捕まえると、現金とポイントが+5ポイント獲得	정확히 5마리의 동물을 태운 올가미에 대해 +5 현금 및 포인트	+5 gotówki i punktów za lassa z dokładnie 5 zwierzętami	+5 dinheiro e pontos para laços com exatamente 5 animais	+5 денег и очков за лассо с ровно 5 животными
Yahtzee	Yahtzee	Yahtzee	Yahtzee	快艇骰子	ヤッツィー	야치	Yahtzee	Yahtzee	Яхтзи
x2 puntos multiplicados al capturar 5 animales de la misma especie con un solo lazo	x2 points multiplicateur lors de la capture de 5 animaux du même type avec un seul lasso	x2 Punkte Multiplikator beim Fangen von 5 Tieren der gleichen Art mit einem einzigen Lasso	moltiplicatore x2 punti quando si catturano 5 animali dello stesso tipo con un singolo lazo	使用单套索捕获 5 只同种动物可获得 x2 点数	同じ種類の動物を1回投げ縄で5匹捕まえると、ポイントが2倍になります	같은 종류의 동물 5마리를 한 올가미로 잡으면 x2 포인트 배수	x2 punkty mnożone za złapanie 5 zwierząt tego samego gatunku na jednym lassie	x2 pontos mult ao capturar 5 animais da mesma espécie em um único laço	x2 очка умножаются при поимке 5 животных одного вида в одно лассо
Plato limpio	Assiette propre	Saubere Platte	Piatto pulito	干净的盘子	クリーンプレート	깨끗한 접시	Czysty talerz	Prato Limpo	Чистая тарелка
+25 en efectivo si no hay animales en la pantalla cuando termina cada ronda	+25 espèces si aucun animal n'est à l'écran à la fin de chaque tour	+25 Bargeld, wenn am Ende jeder Runde keine Tiere auf dem Bildschirm sind	+25 contanti se non ci sono animali sullo schermo quando finisce ogni round	如果每轮结束时屏幕上没有动物，则 +25 现金	各ラウンドの終了時に画面上に動物がいない場合は、+25 キャッシュ	각 라운드가 끝날 때 화면에 동물이 없으면 현금이 25만큼 증가합니다.	+25 gotówki, jeśli na końcu każdej rundy na ekranie nie będzie żadnych zwierząt	+25 em dinheiro se não houver animais na tela quando cada rodada terminar	+25 наличных, если по окончании каждого раунда на экране не будет животных
¡Agrega tu lista de deseos ahora!	Ajoutez-les à votre liste de souhaits maintenant !	Jetzt auf die Wunschliste setzen!	Aggiungilo subito alla lista dei desideri!	立即加入愿望清单！	今すぐウィッシュリストに追加!	지금 위시리스트에 추가하세요!	Dodaj do listy życzeń już teraz!	Lista de desejos agora!	Добавьте в список желаний сейчас!
Viene en juego completo:	À venir dans le jeu complet :	Im vollständigen Spiel enthalten:	Disponibile nel gioco completo:	完整游戏即将推出：	完全版ゲームで登場:	전체 게임에서 추가되는 내용:	W pełnej wersji gry:	Chegando no jogo completo:	В полной версии игры:
¡20 nuevos modos de dificultad!	20 nouveaux modes de difficulté !	20 neue Schwierigkeitsmodi!	20 nuove modalità di difficoltà!	20 种新难度模式！	20の新しい難易度モード！	20개의 새로운 난이도 모드!	20 nowych poziomów trudności!	20 novos modos de dificuldade!	20 новых режимов сложности!
¡6 nuevos animales!	6 nouveaux animaux !	6 neue Tiere!	6 nuovi animali!	6 种新动物！	新しい動物6匹！	6가지 새로운 동물!	6 nowych zwierząt!	6 novos animais!	6 новых животных!
¡7 nuevos agricultores!	7 nouveaux agriculteurs !	7 neue Landwirte!	7 nuovi agricoltori!	7 位新农民！	7人の新しい農家！	7명의 새로운 농부!	7 nowych rolników!	7 novos fazendeiros!	7 новых фермеров!
¡Muchas más ventajas!	Encore plus d'avantages !	Jede Menge weitere Vorteile!	Tanti altri vantaggi!	加载更多福利！	さらに多くの恩恵が満載です!	훨씬 더 많은 혜택이 있습니다!	Mnóstwo dodatkowych korzyści!	Muito mais vantagens!	Еще больше благ!
